[+] 6889 | 2026-01-14 19:25:19 | ВКЛЮЧЕНИЕ    | СИСТЕМА         | Process Manager запущен
[#] 6890 | 2026-01-14 19:25:20 | СИСТЕМА      | TRAY            | ✅ Иконка трея инициализирована
[#] 6891 | 2026-01-14 19:25:21 | СИСТЕМА      | HOTKEY          | ✅ F2 и F5 успешно перехвачены на попытке 1
[*] 6892 | 2026-01-14 19:25:26 | КОНСОЛЬ      | Autoit_Error    | AUTO включен пользователем
[*] 6893 | 2026-01-14 19:25:26 | КОНСОЛЬ      | Autoit_Error    | Обновление кнопок: AUTO=1
[*] 6894 | 2026-01-14 19:25:26 | КОНСОЛЬ      | Autoit_Error    | AUTO кнопка: фиолетовая с белым текстом
[*] 6895 | 2026-01-14 19:25:27 | КОНСОЛЬ      | Autoit_Error    | STOP кнопка: красная с белым текстом (активна)
[*] 6896 | 2026-01-14 19:25:27 | КОНСОЛЬ      | Autoit_Error    | ✅ Процесс запущен через Run() (PID: 18532, попытка: 1)
[+] 6897 | 2026-01-14 19:25:27 | ВКЛЮЧЕНИЕ    | Autoit_Error    | Процесс запущен: C:\Users\Administrator\Desktop\Запускатр_лог\00_AutoitError.exe
[~] 6898 | 2026-01-14 19:25:27 | ИЗМЕНЕНИЕ    | Autoit_Error    | Статус изменен: Stopped → Runned (процесс запущен)
[+] 6899 | 2026-01-14 19:31:33 | ВКЛЮЧЕНИЕ    | СИСТЕМА         | Process Manager запущен
[#] 6900 | 2026-01-14 19:31:34 | СИСТЕМА      | TRAY            | ✅ Иконка трея инициализирована
[#] 6901 | 2026-01-14 19:31:35 | СИСТЕМА      | HOTKEY          | ✅ F2 и F5 успешно перехвачены на попытке 1
[*] 6902 | 2026-01-14 19:31:40 | КОНСОЛЬ      | Autoit_Error    | AUTO выключен пользователем
[*] 6903 | 2026-01-14 19:31:40 | КОНСОЛЬ      | Autoit_Error    | Обновление кнопок: AUTO=0
[*] 6904 | 2026-01-14 19:31:40 | КОНСОЛЬ      | Autoit_Error    | AUTO кнопка: серая с фиолетовым текстом
[*] 6905 | 2026-01-14 19:31:40 | КОНСОЛЬ      | Autoit_Error    | STOP кнопка: серая (неактивна)
[-] 6906 | 2026-01-14 19:31:41 | ОТКЛЮЧЕНИЕ   | Autoit_Error    | Остановлено процессов: 1 (00_AutoitError.exe)
[~] 6907 | 2026-01-14 19:31:41 | ИЗМЕНЕНИЕ    | Autoit_Error    | Статус изменен: Runned → Stopped (процесс остановлен)
[#] 6908 | 2026-01-14 19:31:46 | СИСТЕМА      | TRAY            | 🚪 Выход из программы через меню трея
[-] 6909 | 2026-01-14 19:31:46 | ОТКЛЮЧЕНИЕ   | СИСТЕМА         | Process Manager завершает работу
[-] 6910 | 2026-01-14 19:31:46 | ОТКЛЮЧЕНИЕ   | СИСТЕМА         | Завершение работы (Код выхода: 0, Метод: 1)
[#] 0001 | 2026-01-14 19:32:18 | СИСТЕМА      | THREAD          | Запущен фоновый процесс
[+] 0002 | 2026-01-14 19:32:18 | ВКЛЮЧЕНИЕ    | СИСТЕМА         | Process Manager запущен
[#] 0003 | 2026-01-14 19:32:20 | СИСТЕМА      | TRAY            | ✅ Иконка трея инициализирована
[#] 0004 | 2026-01-14 19:32:21 | СИСТЕМА      | HOTKEY          | ✅ F2 и F5 успешно перехвачены на попытке 1
[#] 0005 | 2026-01-14 19:35:24 | СИСТЕМА      | TRAY            | 🚪 Выход из программы через меню трея
[-] 0006 | 2026-01-14 19:35:24 | ОТКЛЮЧЕНИЕ   | СИСТЕМА         | Process Manager завершает работу
[-] 0007 | 2026-01-14 19:35:24 | ОТКЛЮЧЕНИЕ   | СИСТЕМА         | Завершение работы (Код выхода: 0, Метод: 1)
[#] 0001 | 2026-01-14 19:35:33 | СИСТЕМА      | THREAD          | Запущен фоновый процесс
[+] 0002 | 2026-01-14 19:35:33 | ВКЛЮЧЕНИЕ    | СИСТЕМА         | Process Manager запущен
[#] 0003 | 2026-01-14 19:35:35 | СИСТЕМА      | TRAY            | ✅ Иконка трея инициализирована
[#] 0004 | 2026-01-14 19:35:36 | СИСТЕМА      | HOTKEY          | ✅ F2 и F5 успешно перехвачены на попытке 1
[*] 0005 | 2026-01-14 19:35:44 | КОНСОЛЬ      | Autoit_Error    | AUTO включен пользователем
[*] 0006 | 2026-01-14 19:35:44 | КОНСОЛЬ      | Autoit_Error    | Обновление кнопок: AUTO=1
[*] 0007 | 2026-01-14 19:35:44 | КОНСОЛЬ      | Autoit_Error    | AUTO кнопка: фиолетовая с белым текстом
[*] 0008 | 2026-01-14 19:35:44 | КОНСОЛЬ      | Autoit_Error    | STOP кнопка: красная с белым текстом (активна)
[*] 0009 | 2026-01-14 19:35:44 | КОНСОЛЬ      | Autoit_Error    | ✅ Процесс запущен через Run() (PID: 17620, попытка: 1)
[+] 0010 | 2026-01-14 19:35:44 | ВКЛЮЧЕНИЕ    | Autoit_Error    | Процесс запущен: C:\Users\Administrator\Desktop\Запускатр_лог\00_AutoitError.exe
[~] 0011 | 2026-01-14 19:35:45 | ИЗМЕНЕНИЕ    | Autoit_Error    | Статус изменен: Stopped → Runned (процесс запущен)
[+] 0012 | 2026-01-14 19:35:47 | ВКЛЮЧЕНИЕ    | СИСТЕМА         | Process Manager запущен
[#] 0013 | 2026-01-14 19:35:49 | СИСТЕМА      | TRAY            | ✅ Иконка трея инициализирована
[#] 0014 | 2026-01-14 19:35:53 | СИСТЕМА      | HOTKEY          | ⚠️ F2 F5 всё еще занят старым процессом... Попытка 3/10
[#] 0015 | 2026-01-14 19:35:56 | СИСТЕМА      | HOTKEY          | ⚠️ F2 F5 всё еще занят старым процессом... Попытка 6/10
[#] 0016 | 2026-01-14 19:35:59 | СИСТЕМА      | HOTKEY          | ⚠️ F2 F5 всё еще занят старым процессом... Попытка 9/10
[!] 0017 | 2026-01-14 19:36:00 | ОШИБКА       | HOTKEY          | ❌ Не удалось занять F2 F5 за 10 попыток (10 секунд). Самоотключение.
[#] 0012 | 2026-01-14 19:36:04 | СИСТЕМА      | TRAY            | 🚪 Выход из программы через меню трея
[-] 0013 | 2026-01-14 19:36:04 | ОТКЛЮЧЕНИЕ   | СИСТЕМА         | Process Manager завершает работу
[-] 0014 | 2026-01-14 19:36:04 | ОТКЛЮЧЕНИЕ   | СИСТЕМА         | Завершение работы (Код выхода: 0, Метод: 1)
[*] 0018 | 2026-01-14 19:36:06 | КОНСОЛЬ      | Autoit_Error    | AUTO выключен пользователем
[*] 0019 | 2026-01-14 19:36:06 | КОНСОЛЬ      | Autoit_Error    | Обновление кнопок: AUTO=0
[*] 0020 | 2026-01-14 19:36:06 | КОНСОЛЬ      | Autoit_Error    | AUTO кнопка: серая с фиолетовым текстом
[*] 0021 | 2026-01-14 19:36:06 | КОНСОЛЬ      | Autoit_Error    | STOP кнопка: серая (неактивна)
[-] 0022 | 2026-01-14 19:36:06 | ОТКЛЮЧЕНИЕ   | Autoit_Error    | Остановлено процессов: 1 (00_AutoitError.exe)
[~] 0023 | 2026-01-14 19:36:07 | ИЗМЕНЕНИЕ    | Autoit_Error    | Статус изменен: Runned → Stopped (процесс остановлен)
[#] 0024 | 2026-01-14 19:36:09 | СИСТЕМА      | TRAY            | 🚪 Выход из программы через меню трея
[-] 0025 | 2026-01-14 19:36:09 | ОТКЛЮЧЕНИЕ   | СИСТЕМА         | Process Manager завершает работу
[-] 0026 | 2026-01-14 19:36:09 | ОТКЛЮЧЕНИЕ   | СИСТЕМА         | Завершение работы (Код выхода: 0, Метод: 1)
[#] 0001 | 2026-01-14 19:36:39 | СИСТЕМА      | THREAD          | Запущен фоновый процесс
[+] 0002 | 2026-01-14 19:36:39 | ВКЛЮЧЕНИЕ    | СИСТЕМА         | Process Manager запущен
[#] 0003 | 2026-01-14 19:36:41 | СИСТЕМА      | TRAY            | ✅ Иконка трея инициализирована
[#] 0004 | 2026-01-14 19:36:42 | СИСТЕМА      | HOTKEY          | ✅ F2 и F5 успешно перехвачены на попытке 1
[#] 0005 | 2026-01-14 19:37:57 | СИСТЕМА      | TRAY            | 🚪 Выход из программы через меню трея
[-] 0006 | 2026-01-14 19:37:57 | ОТКЛЮЧЕНИЕ   | СИСТЕМА         | Process Manager завершает работу
[-] 0007 | 2026-01-14 19:37:57 | ОТКЛЮЧЕНИЕ   | СИСТЕМА         | Завершение работы (Код выхода: 0, Метод: 1)
[+] 0008 | 2026-01-14 20:02:23 | ВКЛЮЧЕНИЕ    | СИСТЕМА         | Process Manager запущен
[#] 0009 | 2026-01-14 20:02:24 | СИСТЕМА      | TRAY            | ✅ Иконка трея инициализирована
[#] 0010 | 2026-01-14 20:02:25 | СИСТЕМА      | HOTKEY          | ✅ F2 и F5 успешно перехвачены на попытке 1
[-] 0011 | 2026-01-14 20:03:29 | ОТКЛЮЧЕНИЕ   | СИСТЕМА         | Завершение работы (Код выхода: 0, Метод: 0)
[+] 0012 | 2026-01-14 20:03:56 | ВКЛЮЧЕНИЕ    | СИСТЕМА         | Process Manager запущен
[#] 0013 | 2026-01-14 20:03:57 | СИСТЕМА      | TRAY            | ✅ Иконка трея инициализирована
[#] 0014 | 2026-01-14 20:03:58 | СИСТЕМА      | HOTKEY          | ✅ F2 и F5 успешно перехвачены на попытке 1
[+] 0015 | 2026-01-14 20:05:23 | ВКЛЮЧЕНИЕ    | СИСТЕМА         | Process Manager запущен
[#] 0016 | 2026-01-14 20:05:24 | СИСТЕМА      | TRAY            | ✅ Иконка трея инициализирована
[#] 0017 | 2026-01-14 20:05:28 | СИСТЕМА      | HOTKEY          | ⚠️ F2 F5 всё еще занят старым процессом... Попытка 3/10
[#] 0018 | 2026-01-14 20:05:31 | СИСТЕМА      | HOTKEY          | ⚠️ F2 F5 всё еще занят старым процессом... Попытка 6/10
[#] 0019 | 2026-01-14 20:05:34 | СИСТЕМА      | HOTKEY          | ⚠️ F2 F5 всё еще занят старым процессом... Попытка 9/10
[!] 0020 | 2026-01-14 20:05:35 | ОШИБКА       | HOTKEY          | ❌ Не удалось занять F2 F5 за 10 попыток (10 секунд). Самоотключение.
[+] 0021 | 2026-01-14 20:05:57 | ВКЛЮЧЕНИЕ    | СИСТЕМА         | Process Manager запущен
[#] 0022 | 2026-01-14 20:05:58 | СИСТЕМА      | TRAY            | ✅ Иконка трея инициализирована
[#] 0023 | 2026-01-14 20:06:02 | СИСТЕМА      | HOTKEY          | ⚠️ F2 F5 всё еще занят старым процессом... Попытка 3/10
[#] 0024 | 2026-01-14 20:06:05 | СИСТЕМА      | HOTKEY          | ⚠️ F2 F5 всё еще занят старым процессом... Попытка 6/10
[-] 0015 | 2026-01-14 20:06:06 | ОТКЛЮЧЕНИЕ   | СИСТЕМА         | Завершение работы (Код выхода: 0, Метод: 0)
[#] 0025 | 2026-01-14 20:06:07 | СИСТЕМА      | HOTKEY          | ✅ F2 и F5 успешно перехвачены на попытке 8
[+] 0026 | 2026-01-14 20:06:20 | ВКЛЮЧЕНИЕ    | СИСТЕМА         | Process Manager запущен
[#] 0027 | 2026-01-14 20:06:22 | СИСТЕМА      | TRAY            | ✅ Иконка трея инициализирована
[#] 0028 | 2026-01-14 20:06:25 | СИСТЕМА      | HOTKEY          | ⚠️ F2 F5 всё еще занят старым процессом... Попытка 3/10
[#] 0029 | 2026-01-14 20:06:28 | СИСТЕМА      | HOTKEY          | ⚠️ F2 F5 всё еще занят старым процессом... Попытка 6/10
[#] 0030 | 2026-01-14 20:06:31 | СИСТЕМА      | HOTKEY          | ⚠️ F2 F5 всё еще занят старым процессом... Попытка 9/10
[!] 0031 | 2026-01-14 20:06:32 | ОШИБКА       | HOTKEY          | ❌ Не удалось занять F2 F5 за 10 попыток (10 секунд). Самоотключение.
[-] 0021 | 2026-01-14 20:06:40 | ОТКЛЮЧЕНИЕ   | СИСТЕМА         | Завершение работы (Код выхода: 0, Метод: 0)
[-] 0026 | 2026-01-14 20:06:51 | ОТКЛЮЧЕНИЕ   | СИСТЕМА         | Завершение работы (Код выхода: 0, Метод: 0)
[#] 0032 | 2026-01-14 20:07:00 | СИСТЕМА      | TRAY            | 🚪 Выход из программы через меню трея
[-] 0033 | 2026-01-14 20:07:00 | ОТКЛЮЧЕНИЕ   | СИСТЕМА         | Process Manager завершает работу
