[#] 0176 | 2026-01-14 18:40:01 | СИСТЕМА      | WMI             | 📊 WMI проверка завершена
[#] 0177 | 2026-01-14 18:40:01 | СИСТЕМА      | WMI             | 📡 Инициализация WMI Events...
[+] 0178 | 2026-01-14 18:40:01 | ВКЛЮЧЕНИЕ    | WMI             | 🎯 WMI Events активированы для ProcessManager.exe
[#] 0179 | 2026-01-14 18:40:01 | СИСТЕМА      | WMI             | 🎯 WMI Events система готова к работе
[#] 0180 | 2026-01-14 18:40:01 | СИСТЕМА      | OPTIMIZATION    | 📊 Интервалы: MainLoop=100мс, WMI Events=500мс, WMI Poll=1000мс
[#] 0181 | 2026-01-14 18:40:11 | СИСТЕМА      | WMI_POLL        | 🔄 Попытка восстановления WMI Events после 10 успешных опросов...
[#] 0182 | 2026-01-14 18:40:11 | СИСТЕМА      | WMI             | 🔄 Попытка восстановления WMI Events...
[#] 0183 | 2026-01-14 18:40:11 | СИСТЕМА      | WMI             | 📡 Инициализация WMI Events...
[+] 0184 | 2026-01-14 18:40:11 | ВКЛЮЧЕНИЕ    | WMI             | 🎯 WMI Events активированы для ProcessManager.exe
[+] 0185 | 2026-01-14 18:40:11 | ВКЛЮЧЕНИЕ    | WMI             | 🎯 WMI Events успешно восстановлены из режима опроса!
[~] 0186 | 2026-01-14 18:41:43 | ИЗМЕНЕНИЕ    | WMI_EVENT       | 💥 Обнаружено завершение: ProcessManager.exe (PID: 18036, ExitCode: -1)
[#] 0187 | 2026-01-14 18:41:43 | СИСТЕМА      | WMI_EVENT       | 🚀 Перезапуск ProcessManager.exe через WMI Events
[+] 0188 | 2026-01-14 18:41:43 | ВКЛЮЧЕНИЕ    | WMI_EVENT       | ✅ ProcessManager.exe запущен: C:\Users\Administrator\Desktop\Запускатр_лог\ProcessManager.exe
[+] 0189 | 2026-01-14 18:57:36 | ВКЛЮЧЕНИЕ    | WATCHDOG        | ⚡ AutoIt Error Watchdog запущен (БЫСТРЫЙ СТАРТ)
[#] 0190 | 2026-01-14 18:57:36 | СИСТЕМА      | OPTIMIZATION    | ⚡ CPU оптимизация: WMI ОТКЛЮЧЕН, Polling режим, Sleep 100мс
[#] 0191 | 2026-01-14 18:57:36 | СИСТЕМА      | WMI_CLEANUP     | ⚡ WMI очистка: БЫСТРЫЙ режим, только завершение процессов
[#] 0192 | 2026-01-14 18:57:36 | СИСТЕМА      | WMI_CLEANUP     | ⚡ БЫСТРАЯ очистка WMI при запуске...
[#] 0193 | 2026-01-14 18:57:36 | СИСТЕМА      | WMI_CLEANUP     | ⚡ Быстрый перезапуск службы WMI...
[#] 0194 | 2026-01-14 18:57:38 | СИСТЕМА      | WMI_CLEANUP     | ✅ Служба WMI перезапущена (задержка: 1500мс)
[#] 0195 | 2026-01-14 18:57:38 | СИСТЕМА      | WMI_CLEANUP     | ✅ Быстрая очистка WMI завершена
[#] 0196 | 2026-01-14 18:57:38 | СИСТЕМА      | WMI             | 🔄 Инициализация WMI Events для ProcessManager.exe (интервал: 0.1 сек)...
[+] 0197 | 2026-01-14 18:57:38 | ВКЛЮЧЕНИЕ    | WMI             | ✅ WMI служба успешно подключена
[#] 0198 | 2026-01-14 18:57:38 | СИСТЕМА      | WMI             | 🔍 Проверяем ProcessManager.exe через WMI...
[*] 0199 | 2026-01-14 18:57:38 | КОНСОЛЬ      | WMI             | ✅ ProcessManager.exe найден (1 экземпляров)
[#] 0200 | 2026-01-14 18:57:38 | СИСТЕМА      | WMI             | 📊 WMI проверка завершена
[#] 0201 | 2026-01-14 18:57:38 | СИСТЕМА      | WMI             | 📡 Инициализация WMI Events...
[+] 0202 | 2026-01-14 18:57:38 | ВКЛЮЧЕНИЕ    | WMI             | 🎯 WMI Events активированы для ProcessManager.exe
[#] 0203 | 2026-01-14 18:57:38 | СИСТЕМА      | WMI             | 🎯 WMI Events система готова к работе
[#] 0204 | 2026-01-14 18:57:38 | СИСТЕМА      | OPTIMIZATION    | 📊 Интервалы: MainLoop=100мс, WMI Events=500мс, WMI Poll=1000мс
[#] 0205 | 2026-01-14 18:57:49 | СИСТЕМА      | WMI_POLL        | 🔄 Попытка восстановления WMI Events после 10 успешных опросов...
[#] 0206 | 2026-01-14 18:57:49 | СИСТЕМА      | WMI             | 🔄 Попытка восстановления WMI Events...
